attack_type,casting_time,concentration,duration,index,level,material,name,range,ritual,school_index,school_name
,1 action,True,Up to 1 minute,entangle,1,,Entangle,90 feet,False,conjuration,Conjuration
,1 action,False,1 minute,enthrall,2,,Enthrall,60 feet,False,enchantment,Enchantment
,1 action,False,8 hours,etherealness,7,,Etherealness,Self,False,transmutation,Transmutation
,1 bonus action,True,Up to 10 minutes,expeditious-retreat,1,,Expeditious Retreat,Self,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,eyebite,6,,Eyebite,Self,False,necromancy,Necromancy
,10 minutes,False,Instantaneous,fabricate,4,,Fabricate,120 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,faerie-fire,1,,Faerie Fire,60 feet,False,evocation,Evocation
melee,1 action,False,8 hours,faithful-hound,4,"A tiny silver whistle, a piece of bone, and a thread",Faithful Hound,30 feet,False,conjuration,Conjuration
,1 action,False,1 hour,false-life,1,A small amount of alcohol or distilled spirits.,False Life,Self,False,necromancy,Necromancy
,1 action,True,Up to 1 minute,fear,3,A white feather or the heart of a hen.,Fear,Self,False,illusion,Illusion
,1 reaction,False,1 minute,feather-fall,1,A small feather or a piece of down.,Feather Fall,60 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,feeblemind,8,"A handful of clay, crystal, glass, or mineral spheres.",Feeblemind,150 feet,False,enchantment,Enchantment
,1 hour,False,Instantaneous,find-familiar,1,"10gp worth of charcoal, incense, and herbs that must be consumed by fire in a brass brazier.",Find Familiar,10 feet,True,conjuration,Conjuration
,10 minutes,False,Instantaneous,find-steed,2,,Find Steed,30 feet,False,conjuration,Conjuration
,1 action,False,Instantaneous,find-traps,2,,Find Traps,120 feet,False,divination,Divination
,1 minute,True,Up to 24 hours,find-the-path,6,"A set of divinatory tools--such as bones, ivory sticks, cards, teeth, or carved runes--worth 100gp and an object from the location you wish to find.",Find the Path,Self,False,divination,Divination
,1 action,False,Instantaneous,finger-of-death,7,,Finger of Death,60 feet,False,necromancy,Necromancy
ranged,1 action,False,Instantaneous,fire-bolt,0,,Fire Bolt,120 feet,False,evocation,Evocation
,1 action,False,10 minutes,fire-shield,4,A little phosphorus or a firefly.,Fire Shield,Self,False,evocation,Evocation
,1 action,False,Instantaneous,fire-storm,7,,Fire Storm,150 feet,False,evocation,Evocation
,1 action,False,Instantaneous,fireball,3,A tiny ball of bat guano and sulfur.,Fireball,150 feet,False,evocation,Evocation
,1 bonus action,True,Up to 10 minutes,flame-blade,2,Leaf of sumac.,Flame Blade,Self,False,evocation,Evocation
,1 action,False,Instantaneous,flame-strike,5,Pinch of sulfur.,Flame Strike,60 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,flaming-sphere,2,"A bit of tallow, a pinch of brimstone, and a dusting of powdered iron.",Flaming Sphere,60 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,flesh-to-stone,6,"A pinch of lime, water, and earth.",Flesh to Stone,60 feet,False,transmutation,Transmutation
,1 action,False,1 hour,floating-disk,1,A drop of mercury.,Floating Disk,30 feet,True,conjuration,Conjuration
,1 action,True,Up to 10 minutes,fly,3,A wing feather from any bird.,Fly,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 hour,fog-cloud,1,,Fog Cloud,120 feet,False,conjuration,Conjuration
,10 minutes,False,24 hours,forbiddance,6,"A sprinkling of holy water, rare incense, and powdered ruby worth at least 1,000 gp.",Forbiddance,Touch,True,abjuration,Abjuration
,1 action,False,1 hour,forcecage,7,"Ruby dust worth 1,500 gp.",Forcecage,100 feet,False,evocation,Evocation
,1 minute,False,8 hours,foresight,9,A hummingbird feather.,Foresight,Touch,False,divination,Divination
,1 action,False,1 hour,freedom-of-movement,4,"A leather strap, bound around the arm or a similar appendage.",Freedom of Movement,Touch,False,abjuration,Abjuration
,1 action,False,Instantaneous,freezing-sphere,6,A small crystal sphere.,Freezing Sphere,300 feet,False,evocation,Evocation
,1 action,True,Up to 1 hour,gaseous-form,3,A bit of gauze and a wisp of smoke.,Gaseous Form,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,gate,9,"A diamond worth at least 5,000gp.",Gate,60 feet,False,conjuration,Conjuration
,1 minute,False,30 days,geas,5,,Geas,60 feet,False,enchantment,Enchantment
,1 action,False,10 days,gentle-repose,2,"A pinch of salt and one copper piece placed on each of the corpse's eyes, which must remain there for the duration.",Gentle Repose,Touch,True,necromancy,Necromancy
,1 action,True,Up to 10 minutes,giant-insect,4,,Giant Insect,30 feet,False,transmutation,Transmutation
,1 action,False,1 hour,glibness,8,,Glibness,Self,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,globe-of-invulnerability,6,A glass or crystal bead that shatters when the spell ends.,Globe of Invulnerability,Self,False,abjuration,Abjuration
,1 hour,False,Until dispelled,glyph-of-warding,3,"Incense and powdered diamond worth at least 200 gp, which the spell consumes.",Glyph of Warding,Touch,False,abjuration,Abjuration
,1 action,False,Instantaneous,goodberry,1,A sprig of mistletoe.,Goodberry,Touch,False,transmutation,Transmutation
,1 action,False,1 minute,grease,1,A bit of pork rind or butter.,Grease,60 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,greater-invisibility,4,,Greater Invisibility,Touch,False,illusion,Illusion
,1 action,False,Instantaneous,greater-restoration,5,"Diamond dust worth at least 100gp, which the spell consumes.",Greater Restoration,Touch,False,abjuration,Abjuration
,1 action,False,8 hours,guardian-of-faith,4,,Guardian of Faith,30 feet,False,conjuration,Conjuration
,10 minutes,False,24 hours,guards-and-wards,6,"Burning incense, a small measure of brimstone and oil, a knotted string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp.",Guards and Wards,Touch,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,guidance,0,,Guidance,Touch,False,divination,Divination
ranged,1 action,False,1 round,guiding-bolt,1,,Guiding Bolt,120 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,gust-of-wind,2,A legume seed.,Gust of Wind,Self,False,evocation,Evocation
,24 hours,False,Until dispelled,hallow,5,"Herbs, oils, and incense worth at least 1,000 gp, which the spell consumes.",Hallow,Touch,False,evocation,Evocation
,10 minutes,False,24 hours,hallucinatory-terrain,4,"A stone, a twig, and a bit of green plant.",Hallucinatory Terrain,300 feet,False,illusion,Illusion
,1 action,False,Instantaneous,harm,6,,Harm,60 feet,False,necromancy,Necromancy
,1 action,True,Up to 1 minute,haste,3,A shaving of licorice root.,Haste,30 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,heal,6,,Heal,60 feet,False,evocation,Evocation
,1 bonus action,False,Instantaneous,healing-word,1,,Healing Word,60 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,heat-metal,2,A piece of iron and a flame.,Heat Metal,60 feet,False,transmutation,Transmutation
,1 reaction,False,Instantaneous,hellish-rebuke,1,,Hellish Rebuke,60 feet,False,evocation,Evocation
,10 minutes,False,Instantaneous,heroes-feast,6,"A gem-encrusted bowl worth at least 1,000gp, which the spell consumes.",Heroes' Feast,30 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,heroism,1,,Heroism,Touch,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,hideous-laughter,1,Tiny tarts and a feather that is waved in the air.,Hideous Laughter,30 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,hold-monster,5,A small piece of iron.,Hold Monster,90 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,hold-person,2,"A small, straight piece of iron.",Hold Person,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,holy-aura,8,"A tiny reliquary worth at least 1,000gp containing a sacred relic, such as a scrap of cloth from a saint's robe or a piece of parchment from a religious text.",Holy Aura,Self,False,abjuration,Abjuration
,1 bonus action,True,Up to 1 hour,hunters-mark,1,,Hunter's Mark,90 feet,False,divination,Divination
,1 action,True,Up to 1 minute,hypnotic-pattern,3,A glowing stick of incense or a crystal vial filled with phosphorescent material.,Hypnotic Pattern,120 feet,False,illusion,Illusion
,1 action,False,Instantaneous,ice-storm,4,A pinch of dust and a few drops of water.,Ice Storm,300 feet,False,evocation,Evocation
,1 minute,False,Instantaneous,identify,1,A pearl worth at least 100gp and an owl feather.,Identify,Touch,True,divination,Divination
,1 minute,False,10 days,illusory-script,1,"A lead-based ink worth at least 10gp, which this spell consumes.",Illusory Script,Touch,True,illusion,Illusion
,1 minute,False,Until dispelled,imprisonment,9,"A vellum depiction or a carved statuette in the likeness of the target, and a special component that varies according to the version of the spell you choose, worth at least 500gp per Hit Die of the target.",Imprisonment,30 feet,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,incendiary-cloud,8,,Incendiary Cloud,150 feet,False,conjuration,Conjuration
melee,1 action,False,Instantaneous,inflict-wounds,1,,Inflict Wounds,Touch,False,necromancy,Necromancy
,1 action,True,Up to 10 minutes,insect-plague,5,"A few grains of sugar, some kernels of grain, and a smear of fat.",Insect Plague,300 feet,False,conjuration,Conjuration
,1 minute,False,Until dispelled,instant-summons,6,"A sapphire worth 1,000 gp.",Instant Summons,Touch,True,conjuration,Conjuration
,1 action,True,Up to 1 hour,invisibility,2,An eyelash encased in gum arabic.,Invisibility,Touch,False,illusion,Illusion
,1 action,True,Up to 1 minute,irresistible-dance,6,,Irresistible Dance,30 feet,False,enchantment,Enchantment
,1 action,False,1 minute,jump,1,A grasshopper's hind leg.,Jump,Touch,False,transmutation,Transmutation
,1 action,False,Instantaneous,knock,2,,Knock,60 feet,False,transmutation,Transmutation
,10 minutes,False,Instantaneous,legend-lore,5,"Incense worth at least 250 gp, which the spell consumes, and four ivory strips worth at least 50 gp each.",Legend Lore,Self,False,divination,Divination
,1 action,False,Instantaneous,lesser-restoration,2,,Lesser Restoration,Touch,False,abjuration,Abjuration
,1 action,True,Up to 10 minutes,levitate,2,Either a small leather loop or a piece of golden wire bent into a cup shape with a long shank on one end.,Levitate,60 feet,False,transmutation,Transmutation
,1 action,False,1 hour,light,0,A firefly or phosphorescent moss.,Light,Touch,False,evocation,Evocation
,1 action,False,Instantaneous,lightning-bolt,3,"A bit of fur and a rod of amber, crystal, or glass.",Lightning Bolt,Self,False,evocation,Evocation
,1 action,False,Instantaneous,locate-animals-or-plants,2,A bit of fur from a bloodhound.,Locate Animals or Plants,Self,True,divination,Divination
,1 action,True,Up to 1 hour,locate-creature,4,A bit of fur from a bloodhound.,Locate Creature,Self,False,divination,Divination
,1 action,True,Up to 10 minutes,locate-object,2,A forked twig.,Locate Object,Self,False,divination,Divination
,1 action,False,1 hour,longstrider,1,A pinch of dirt.,Longstrider,Touch,False,transmutation,Transmutation
,1 action,False,8 hours,mage-armor,1,A piece of cured leather.,Mage Armor,Touch,False,abjuration,Abjuration
,1 action,False,1 minute,mage-hand,0,,Mage Hand,30 feet,False,conjuration,Conjuration
,1 minute,False,1 hour,magic-circle,3,"Holy water or powdered silver and iron worth at least 100 gp, which the spell consumes.",Magic Circle,10 feet,False,abjuration,Abjuration
,1 minute,False,Until dispelled,magic-jar,6,"A gem, crystal, reliquary, or some other ornamental container worth at least 500 gp.",Magic Jar,Self,False,necromancy,Necromancy
,1 action,False,Instantaneous,magic-missile,1,,Magic Missile,120 feet,False,evocation,Evocation
,1 minute,False,Until dispelled,magic-mouth,2,"A honeycomb and jade dust of at least 10 inches, the spell consumes.",Magic Mouth,30 feet,True,illusion,Illusion
,1 bonus action,True,Up to 1 hour,magic-weapon,2,,Magic Weapon,Touch,False,transmutation,Transmutation
,1 minute,False,24 hours,magnificent-mansion,7,"A miniature portal carved from ivory, a small piece of polished marble, and a tiny silver spoon, each item worth at least 5 gp.",Magnificent Mansion,300 feet,False,conjuration,Conjuration
,1 action,True,Up to 10 minutes,major-image,3,A bit of fleece.,Major Image,120 feet,False,illusion,Illusion
,1 action,False,Instantaneous,mass-cure-wounds,5,,Mass Cure Wounds,60 feet,False,conjuration,Conjuration
,1 action,False,Instantaneous,mass-heal,9,,Mass Heal,60 feet,False,conjuration,Conjuration
,1 bonus action,False,Instantaneous,mass-healing-word,3,,Mass Healing Word,60 feet,False,evocation,Evocation
,1 action,False,24 hours,mass-suggestion,6,A snake's tongue and either a bit of honeycomb or a drop of sweet oil.,Mass Suggestion,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 10 minutes,maze,8,,Maze,60 feet,False,conjuration,Conjuration
,1 action,False,8 hours,meld-into-stone,3,,Meld Into Stone,Touch,True,transmutation,Transmutation
,1 minute,False,Instantaneous,mending,0,Two lodestones.,Mending,Touch,False,transmutation,Transmutation
,1 action,False,1 round,message,0,A short piece of copper wire.,Message,120 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,meteor-swarm,9,,Meteor Swarm,1 mile,False,evocation,Evocation
,1 action,False,24 hours,mind-blank,8,,Mind Blank,Touch,False,abjuration,Abjuration
,1 action,False,1 minute,minor-illusion,0,A bit of fleece.,Minor Illusion,30 feet,False,illusion,Illusion
,10 minutes,False,10 days,mirage-arcane,7,,Mirage Arcane,Sight,False,illusion,Illusion
,1 action,False,1 minute,mirror-image,2,,Mirror Image,Self,False,illusion,Illusion
,1 action,True,Up to 1 hour,mislead,5,,Mislead,Self,False,illusion,Illusion
,1 bonus action,False,Instantaneous,misty-step,2,,Misty Step,Self,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,modify-memory,5,,Modify Memory,30 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,moonbeam,2,Several seeds of any moonseed plant and a piece of opalescent feldspar.,Moonbeam,120 feet,False,evocation,Evocation
,1 action,True,Up to 2 hours,move-earth,6,"An iron blade and a small bag containing a mixture of soils--clay, loam, and sand.",Move Earth,120 feet,False,transmutation,Transmutation
,1 action,False,8 hours,nondetection,3,"A pinch of diamond dust worth 25 gp sprinkled over the target, which the spell consumes.",Nondetection,Touch,False,abjuration,Abjuration
,1 action,True,Up to 1 hour,pass-without-trace,2,Ashes from a burned leaf of mistletoe and a sprig of spruce.,Pass Without Trace,Self,False,abjuration,Abjuration
,1 action,False,1 hour,passwall,5,A pinch of sesame seeds.,Passwall,30 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,phantasmal-killer,4,,Phantasmal Killer,120 feet,False,illusion,Illusion
,1 minute,False,1 hour,phantom-steed,3,,Phantom Steed,30 feet,True,illusion,Illusion
,10 minutes,False,Instantaneous,planar-ally,6,,Planar Ally,60 feet,False,conjuration,Conjuration
,1 hour,False,24 hours,planar-binding,5,"A jewel worth at least 1,000 gp, which the spell consumes.",Planar Binding,60 feet,False,abjuration,Abjuration
melee,1 action,False,Instantaneous,plane-shift,7,"A forked, metal rod worth at least 250 gp, attuned to a particular plane of existence.",Plane Shift,Touch,False,conjuration,Conjuration
,1 action,False,Instantaneous,plant-growth,3,,Plant Growth,150 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,poison-spray,0,,Poison Spray,10 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 hour,polymorph,4,A caterpillar cocoon.,Polymorph,60 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,power-word-kill,9,,Power Word Kill,60 feet,False,enchantment,Enchantment
,1 action,False,Instantaneous,power-word-stun,8,,Power Word Stun,60 feet,False,enchantment,Enchantment
,10 minutes,False,Instantaneous,prayer-of-healing,2,,Prayer of Healing,30 feet,False,evocation,Evocation
,1 action,False,1 hour,prestidigitation,0,,Prestidigitation,10 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,prismatic-spray,7,,Prismatic Spray,Self,False,evocation,Evocation
,1 action,False,10 minutes,prismatic-wall,9,,Prismatic Wall,60 feet,False,abjuration,Abjuration
,10 minutes,False,24 hours,private-sanctum,4,"A thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite.",Private Sanctum,120 feet,False,abjuration,Abjuration
ranged,1 action,False,10 minutes,produce-flame,0,,Produce Flame,Self,False,conjuration,Conjuration
,1 action,False,Until dispelled,programmed-illusion,6,A bit of fleece and jade dust worth at least 25 gp.,Programmed Illusion,120 feet,False,illusion,Illusion
,1 action,True,Up to 24 hours,project-image,7,A small replica of you made from materials worth at least 5 gp.,Project Image,500 miles,False,illusion,Illusion
